"","angle","AIC","R2_adj","p_value","pente_angle","pente_msw","coef_interaction"
"1","ang2",-17657.5311832042,0.242272349355212,1.02856790118281e-16,0.698957654956117,-0.0236665044083807,-0.0162190526409727
"2","ang4",-17668.9598787639,0.242670014416122,3.01508259971523e-17,0.711979392853484,-0.0231104814996224,-0.0164839609618395
"3","ang6",-17680.4345760857,0.243069070161576,8.63583348431289e-18,0.725909921347268,-0.0225362316476576,-0.0167696069331782
"4","ang8",-17691.9800764665,0.243470376004005,2.40955128047665e-18,0.740830356714042,-0.0219422346089476,-0.0170776503783344
"5","ang10",-17703.6217215379,0.243874808277684,6.52802511788332e-19,0.756828832321502,-0.0213267875874506,-0.0174099056447551
"6","ang12",-17715.3855958255,0.244283267188856,1.71124692434702e-19,0.774001745510241,-0.0206879855977058,-0.0177683671605477
"7","ang14",-17727.2987393287,0.244696684078928,4.32382999624472e-20,0.792455157279733,-0.0200236978596606,-0.0181552382316361
"8","ang16",-17739.3893730673,0.245116029099652,1.04867053833755e-20,0.812306381812056,-0.0193315396281361,-0.0185729638355436
"9","ang18",-17751.6871406868,0.245542319403151,2.43019715398453e-21,0.833685809381949,-0.018608838705939,-0.0190242683019683
"10","ang20",-17764.2233693659,0.245976627953781,5.35422195986842e-22,0.856739014573401,-0.0178525957040055,-0.0195121989419035
"11","ang22",-17777.0313534135,0.246420093072296,1.1153163172606e-22,0.881629212372491,-0.0170594368852258,-0.020040176904594
"12","ang24",-17790.1466640404,0.246873928824641,2.18313785322634e-23,0.908540138228544,-0.0162255581489492,-0.0206120568168988
"13","ang26",-17803.607488784,0.247339436365559,3.98823804140293e-24,0.937679445306674,-0.0153466583655558,-0.0212321971073871
"14","ang28",-17817.45500388,0.24781801633865,6.74819854991378e-25,0.969282733878966,-0.014417859835793,-0.0219055433571138
"15","ang30",-17831.733782363,0.248311182414354,1.04855712772074e-25,1.00361835540019,-0.0134336131030209,-0.0226377275758102
"16","ang32",-17846.4922396462,0.248820576008954,1.48190790184257e-26,1.04099316892866,-0.0123875826566189,-0.0234351870082867
"17","ang34",-17861.7831164499,0.249347982159636,1.88436155419073e-27,1.08175947235459,-0.0112725091907524,-0.0243053069733592
"18","ang36",-17877.6639957196,0.249895346416108,2.12952576224513e-28,1.126323388134,-0.0100800429728321,-0.0252565933795457
"19","ang38",-17894.1978448191,0.250464792421719,2.10914441442082e-29,1.17515505649368,-0.00880054146430294,-0.0262988820166398
"20","ang40",-17911.4535655873,0.251058639555105,1.80179786531596e-30,1.2288010828595,-0.00742282254107149,-0.0274435935743133
"21","ang42",-17929.506520894,0.251679419522791,1.30361106433086e-31,1.28789980622281,-0.00593386238174999,-0.0287040456920909
"22","ang44",-17948.4389841141,0.252329890032634,7.82198369721368e-33,1.35320010806859,-0.00431842421268106,-0.0300958363199037
"23","ang46",-17968.3404226866,0.25301304247727,3.79934604902151e-34,1.42558467506325,-0.00255860049462276,-0.0316373163947503
"24","ang48",-17989.3074710215,0.253732098661691,1.45274091995674e-35,1.50609887069892,-0.000633246697502733,-0.0333501744315015
"25","ang50",-18011.4433592572,0.254490488612446,4.23354783718495e-37,1.59598666703301,0.0014827205027451,-0.0352601611279171
"26","ang52",-18034.8564230442,0.255291796752782,9.05669487007055e-39,1.69673543560388,0.00381919380768714,-0.0373979883449655
"27","ang54",-18059.6570936748,0.256139656158763,1.36175917450256e-40,1.81013177597397,0.00641195403663894,-0.0398004432448669
"28","ang56",-18085.9524054389,0.257037558504212,1.36848665357362e-42,1.9383309085032,0.00930400118233119,-0.0425117633827312
"29","ang58",-18113.83647318,0.257988527856589,8.67375690096897e-45,2.0839423228324,0.0125471818510463,-0.0455853185777575
"30","ang60",-18143.3744496776,0.258994575156416,3.24515207947242e-47,2.25013401773975,0.0162041447533304,-0.0490856327812361
"31","ang62",-18174.5759476484,0.260055799693982,6.65242744011863e-50,2.44075607817185,0.0203506158444055,-0.0530907381048834
"32","ang64",-18207.3514560886,0.261168922711712,6.88771777103905e-53,2.66048004656149,0.0250778860363087,-0.0576947517873105
"33","ang66",-18241.4413745612,0.262324909221504,3.30959368468085e-56,2.9149406168454,0.0304951859187538,-0.0630103420604563
"34","ang68",-18276.3012377449,0.263505134108267,6.8178719982626e-60,3.21084484026488,0.0367311652290507,-0.0691702784774259
